Author,Community,Degree
https://openalex.org/A5082165277,57,18
https://openalex.org/A5047899047,57,9
https://openalex.org/A5039482178,9,18
https://openalex.org/A5037857182,9,2
https://openalex.org/A5023245043,4,2
https://openalex.org/A5010634347,3,2
https://openalex.org/A5009065607,9,7
https://openalex.org/A5055715757,9,3
https://openalex.org/A5006580891,16,7
https://openalex.org/A5048258273,9,5
https://openalex.org/A5011734445,57,11
https://openalex.org/A5087237906,57,11
https://openalex.org/A5003461314,80,15
https://openalex.org/A5064437777,1,5
https://openalex.org/A5012543005,1,2
https://openalex.org/A5037456313,17,7
https://openalex.org/A5016053134,1,3
https://openalex.org/A5066640889,57,10
https://openalex.org/A5071496598,0,13
https://openalex.org/A5009524614,1,2
https://openalex.org/A5078451901,1,3
https://openalex.org/A5006604117,1,3
https://openalex.org/A5023301432,80,25
https://openalex.org/A5005075027,57,10
https://openalex.org/A5090919225,80,6
https://openalex.org/A5081486876,39,5
https://openalex.org/A5035155852,1,3
https://openalex.org/A5072354759,39,6
https://openalex.org/A5005437129,39,5
https://openalex.org/A5069878224,80,9
https://openalex.org/A5029582839,81,8
https://openalex.org/A5076986736,81,7
https://openalex.org/A5027017603,1,7
https://openalex.org/A5082491697,81,7
https://openalex.org/A5078275221,81,7
https://openalex.org/A5022164041,10,29
https://openalex.org/A5015080029,0,12
https://openalex.org/A5034818840,1,5
https://openalex.org/A5009012039,80,9
https://openalex.org/A5049074892,1,4
https://openalex.org/A5048216017,80,13
https://openalex.org/A5077299582,10,4
https://openalex.org/A5047150833,81,16
https://openalex.org/A5070147761,1,1
https://openalex.org/A5055814385,14,7
https://openalex.org/A5030259169,1,5
https://openalex.org/A5001344952,80,8
https://openalex.org/A5016308056,1,8
https://openalex.org/A5067008528,0,6
https://openalex.org/A5068331353,1,5
https://openalex.org/A5089478603,1,2
https://openalex.org/A5003949731,81,8
https://openalex.org/A5018257276,81,9
https://openalex.org/A5015642711,30,4
https://openalex.org/A5011943818,81,8
https://openalex.org/A5008340021,1,7
https://openalex.org/A5016146759,30,24
https://openalex.org/A5040108431,1,2
https://openalex.org/A5080970505,10,6
https://openalex.org/A5053527968,81,6
https://openalex.org/A5087785022,10,7
https://openalex.org/A5076081413,14,4
https://openalex.org/A5080116943,81,6
https://openalex.org/A5039038612,81,6
https://openalex.org/A5034919242,80,8
https://openalex.org/A5045519730,80,6
https://openalex.org/A5040735180,81,6
https://openalex.org/A5031516011,12,4
https://openalex.org/A5061199614,1,11
https://openalex.org/A5038853895,12,10
https://openalex.org/A5030085543,80,8
https://openalex.org/A5030358452,2,8
https://openalex.org/A5089308976,80,6
https://openalex.org/A5074505852,80,12
https://openalex.org/A5044989251,80,8
https://openalex.org/A5059675391,80,8
https://openalex.org/A5053327730,80,6
https://openalex.org/A5036347563,1,3
https://openalex.org/A5005448339,31,37
https://openalex.org/A5062910836,18,16
https://openalex.org/A5073712639,17,3
https://openalex.org/A5068811427,18,16
https://openalex.org/A5062341708,37,4
